Home Alone;;80;;68;;PG;;When bratty 8-year-old Kevin McCallister (Macaulay Culkin) acts out the night before a family trip to Paris, his mother (Catherine O'Hara) makes him sleep in the attic. After the McCallisters mistakenly leave for the airport without Kevin, he awakens to an empty house and assumes his wish to have no family has come true. But his excitement sours when he realizes that two con men (Joe Pesci, Daniel Stern) plan to rob the McCallister residence, and that he alone must protect the family home.;;Other,Kids & family,Comedy;;Chris Columbus;;1990;;Macaulay Culkin,Joe Pesci,Daniel Stern,Catherine O'Hara,John Heard,Roberts Blossom,John Candy,Angela Goethals,Devin Ratray,Gerry Bamman
Days of Thunder;;60;;38;;PG-13;;In the fast-paced world of NASCAR, a rivalry brews between rookie hotshot Cole Trickle (Tom Cruise) and veteran racer Rowdy Burns (Michael Rooker). When both of them are seriously injured in competition, the former bitter rivals become close friends. With Cole's spirits restored by a romance with neurosurgeon Dr. Claire Lewicki (Nicole Kidman), and Rowdy still sidelined by injuries, Cole decides to race Rowdy's car in the Daytona 500 against underhanded newcomer Russ Wheeler (Cary Elwes).;;Action;;Tony Scott;;1990;;Tom Cruise,Robert Duvall,Nicole Kidman,Randy Quaid,Michael Rooker,Cary Elwes,Fred Dalton Thompson,John C. Reilly,J.C. Quinn,Don Simpson,James Martin Jr.
Jacob's Ladder;;84;;73;;R;;After returning home from the Vietnam War, veteran Jacob Singer (Tim Robbins) struggles to maintain his sanity. Plagued by hallucinations and flashbacks, Singer rapidly falls apart as the world and people around him morph and twist into disturbing images. His girlfriend, Jezzie (Elizabeth Peña), and ex-wife, Sarah (Patricia Kalember), try to help, but to little avail. Even Singer's chiropractor friend, Louis (Danny Aiello), fails to reach him as he descends into madness.;;Horror,Mystery & thriller,Drama;;Adrian Lyne;;1990;;Tim Robbins,Elizabeth Peña,Danny Aiello,Matt Craven,Pruitt Taylor Vince,Jason Alexander,Patricia Kalember,Eriq La Salle,Ving Rhames,Brian Tarantina,Anthony Alessandro,Brent Hinkley,Macaulay Culkin
The Bonfire of the Vanities;;26;;16;;R;;In this adaptation of the Tom Wolfe novel, powerful Wall Street executive Sherman McCoy (Tom Hanks) is riding with his greedy girlfriend, Maria (Melanie Griffith), when she makes a wrong turn and winds up in the Bronx. There, she runs over a black boy and drives off without reporting it. When alcoholic tabloid reporter Peter Fallow (Bruce Willis) discovers the story, he knows it will be scandalous and riles up New Yorkers with his coverage of the case, which soon goes to trial.;;Comedy,Drama;;Brian De Palma;;1990;;Tom Hanks,Bruce Willis,Melanie Griffith,Kim Cattrall,Saul Rubinek,Morgan Freeman,F. Murray Abraham,John Hancock,Kevin Dunn,Clifton James,Louis Giambalvo,Barton Heyman,Norman Parker,Donald Moffat,Alan King,Beth Broderick,Kurt Fuller,Adam LeFevre,Richard Libertini,Andre Gregory
Edward Scissorhands;;91;;90;;PG-13;;A scientist (Vincent Price) builds an animated human being -- the gentle Edward (Johnny Depp). The scientist dies before he can finish assembling Edward, though, leaving the young man with a freakish appearance accentuated by the scissor blades he has instead of hands. Loving suburban saleswoman Peg (Dianne Wiest) discovers Edward and takes him home, where he falls for Peg's teen daughter (Winona Ryder). However, despite his kindness and artistic talent, Edward's hands make him an outcast.;;Fantasy,Romance,Other,Comedy,Drama;;Tim Burton;;1990;;Johnny Depp,Winona Ryder,Dianne Wiest,Anthony Michael Hall,Alan Arkin,Kathy Baker,Robert Oliveri,Conchata Ferrell,Vincent Price
Dances With Wolves;;87;;83;;PG-13;;A Civil War soldier develops a relationship with a band of Lakota Indians. Attracted by the simplicity of their lifestyle, he chooses to leave his former life behind to be with them. Having observed him, they give the name Dances With Wolves. Soon he is a welcomed member of the tribe and falls in love with a white woman who has been raised in the tribe. Tragedy results when Union soldiers arrive with designs on the land.;;History,Western,Drama;;Kevin Costner;;1990;;Kevin Costner,Mary McDonnell,Graham Greene,Rodney A. Grant,Floyd "Red Crow" Westerman,Tantoo Cardinal,Robert Pastorelli,Charles Rocket,Maury Chaykin,Larry Joshua,Wes Studi,Jimmy Herman,Tom Everett
Arachnophobia;;54;;93;;PG-13;;After a nature photographer (Mark L. Taylor) dies on assignment in Venezuela, a poisonous spider hitches a ride in his coffin to his hometown in rural California, where arachnophobe Dr. Ross Jennings (Jeff Daniels) has just moved in with his wife, Molly (Harley Jane Kozak), and young son. As town residents start turning up dead, Jennings begins to suspect spiders, and must face his fears as he and no-nonsense exterminator Delbert McClintock (John Goodman) fight to stop a deadly infestation.;;Mystery & thriller,Comedy;;Frank Marshall;;1990;;Jeff Daniels,Harley Jane Kozak,John Goodman,Julian Sands,Stuart Pankin,Brian McNamara,Mark L. Taylor,Henry Jones,Peter Jason,James Handy,Roy Brocksmith,Kathy Kinney,Mary Carver
Metropolitan;;85;;93;;PG-13;;A radical student is adopted by a group of young New Yorkers, serves as a catalyst to alter his and their lives. Gathering in a Manhattan apartment, the group of friends meet to discuss social mobility, Fourier's socialism and play bridge in their cocoon of upper-class society - until they are joined by a man with a critical view of their way of life.;;Comedy,Drama;;Whit Stillman;;1990;;Carolyn Farina,Edward Clements,Chris Eigeman,Taylor Nichols,Allison Parisi,Dylan Hundley,Isabel Gillies,Bryan Leder,Will Kempe,Ellia Thompson
Die Hard 2;;70;;69;;R;;A year after his heroics in L.A, detective John McClane (Bruce Willis) is mixed up in another terrorist plot, this time at Washington Dulles International Airport, where he is waiting for his wife (Bonnie Bedelia). That same night, South American politico and drug profiteer Ramon Esperanza (Franco Nero) is arriving in U.S. custody. McClane takes action when a treasonous ex-colonel (William Sadler) seizes control of the airport, threatening to crash every inbound flight unless Esperanza is freed.;;Mystery & thriller,Action;;Renny Harlin;;1990;;Bruce Willis,Bonnie Bedelia,William Atherton,Reginald VelJohnson,Franco Nero,William Sadler,John Amos,Dennis Franz,Art Evans,Fred Dalton Thompson,Tom Bower,Sheila McCarthy,Don Harvey
Wild at Heart;;81;;67;;R;;After serving prison time for a self-defense killing, Sailor Ripley (Nicolas Cage) reunites with girlfriend Lula Fortune (Laura Dern). Lula's mother, Marietta (Diane Ladd), desperate to keep them apart, hires a hit man to kill Sailor. But he finds a whole new set of troubles when he and Bobby Peru (Willem Dafoe), an old buddy who's also out to get Sailor, try to rob a store. When Sailor lands in jail yet again, the young lovers appear further than ever from the shared life they covet.;;Drama;;David Lynch;;1990;;Nicolas Cage,Laura Dern,Diane Ladd,Willem Dafoe,Isabella Rossellini,Harry Dean Stanton,Crispin Glover,Grace Zabriskie,J.E. Freeman,William Morgan Sheppard
Total Recall;;78;;82;;R;;Douglas Quaid (Arnold Schwarzenegger) is a bored construction worker in the year 2084 who dreams of visiting the colonized Mars. He visits "Rekall," a company that plants false memories into people's brains, in order to experience the thrill of Mars without having to travel there. But something goes wrong during the procedure; Quaid discovers that his entire life is actually a false memory and that the people who implanted it in his head now want him dead.;;Sci-fi,Action;;Paul Verhoeven;;1990;;Arnold Schwarzenegger,Rachel Ticotin,Sharon Stone,Ronny Cox,Michael Ironside,Marshall Bell,Mel Johnson Jr.,Michael Champion,Roy Brocksmith,Ray Baker,Rosemary Dunsmore,Priscilla Allen
Dick Tracy;;53;;63;;PG;;Hard-boiled detective Dick Tracy (Warren Beatty) is searching for evidence that proves Alphonse "Big Boy" Caprice is the city's most dangerous crime boss. He may have found the key to unraveling the crimelord's illegal empire in Breathless Mahoney (Madonna), an enigmatic barroom singer who has witnessed some of Caprice's crimes firsthand. However, she seems more set on stealing Dick away from his girlfriend, Tess (Glenne Headly), than helping him solve the case of his career.;;Crime,Action,Drama;;Warren Beatty;;1990;;Warren Beatty,Madonna,Charlie Korsmo,Glenne Headly,Al Pacino,Dustin Hoffman,William Forsythe,Charles Durning,Mandy Patinkin,Paul Sorvino,R. G. Armstrong,Dick Van Dyke,Ed O'Ross
Pretty Woman;;68;;65;;R;;In this modern update on Cinderella, a prostitute and a wealthy businessman fall hard for one another, forming an unlikely pair. While on a business trip in L.A., Edward (Richard Gere), who makes a living buying and breaking up companies, picks up a hooker, Vivian (Julia Roberts), on a lark. After Edward hires Vivian to stay with him for the weekend, the two get closer, only to discover there are significant hurdles to overcome as they try to bridge the gap between their very different worlds.;;Romance,Comedy;;Garry Marshall;;1990;;Richard Gere,Julia Roberts,Ralph Bellamy,Jason Alexander,Laura San Giacomo,Héctor Elizondo,Alex Hyde-White,Amy Yasbeck,Patrick Richwood,Larry Miller,Elinor Donahue
Miller's Crossing;;90;;92;;R;;When the Italian Mafia threatens to kill a crooked bookie (John Turturro), Irish mob boss Leo O'Bannon (Albert Finney) refuses to allow it, chiefly because he's dating the bookie's sister, crafty gun moll Verna Bernbaum (Marcia Gay Harden). Leo's right-hand man, Tom Reagan (Gabriel Byrne), is also seeing Verna on the sly, and when he's found out is obliged to switch sides, going to work for the Italian mob amidst a dramatically escalating gang war over liquor distribution.;;Crime,Drama;;Joel Coen,Ethan Coen;;1990;;Gabriel Byrne,Albert Finney,Marcia Gay Harden,Jon Polito,John Turturro,J.E. Freeman,Mike Starr,Al Mancini
Paris Is Burning;;89;;98;;R;;This documentary focuses on drag queens living in New York City and their "house" culture, which provides a sense of community and support for the flamboyant and often socially shunned performers. Groups from each house compete in elaborate balls that take cues from the world of fashion. Also touching on issues of racism and poverty, the film features interviews with a number of renowned drag queens, including Willi Ninja, Pepper LaBeija and Dorian Corey.;;Lgbtq+,Documentary;;Jennie Livingston;;1991;;André Christian,Freddie Pendavis,Willi Ninja,Pepper LaBeija,Junior Labeija,Shari Headley,Paris Duprée,Dorian Corey
Thelma &amp; Louise;;82;;85;;R;;Meek housewife Thelma (Geena Davis) joins her friend Louise (Susan Sarandon), an independent waitress, on a short fishing trip. However, their trip becomes a flight from the law when Louise shoots and kills a man who tries to rape Thelma at a bar. Louise decides to flee to Mexico, and Thelma joins her. On the way, Thelma falls for sexy young thief J.D. (Brad Pitt) and the sympathetic Detective Slocumb (Harvey Keitel) tries to convince the two women to surrender before their fates are sealed.;;Adventure,Comedy,Drama;;Ridley Scott;;1991;;Susan Sarandon,Geena Davis,Harvey Keitel,Michael Madsen,Christopher McDonald,Brad Pitt
Only Yesterday;;81;;100;;NC;;A put-upon 27-year-old Japanese office worker travels to the countryside and reminisces about her childhood in Tokyo and what life could have been.;;Anime,Drama;;Isao Takahata;;1991;;Daisy Ridley,Dev Patel,Ashley Eckstein,Alison Fernandez
Bugsy;;69;;84;;R;;New York mobster Benjamin "Bugsy" Siegel (Warren Beatty) leaves New York City to dip into the glamour of Hollywood, Calif., and to build up syndicate gambling rackets. Bowled over by actress Virginia Hill (Annette Bening), the dapper Siegel courts her, despite having a wife and children. Obsessed with creating a gambling haven, Siegel takes racketeering to the Nevada desert and helps develop Las Vegas, only to find himself in deep water over his reckless construction of the Flamingo Hotel.;;Crime,Drama,Biography;;Barry Levinson;;1991;;Warren Beatty,Annette Bening,Harvey Keitel,Ben Kingsley,Elliott Gould,Joe Mantegna,Bebe Neuwirth,Wendy Phillips,Allen Smithee,Lewis Van Bergen,Bill Graham,Andy Romano,Robert Beltran,Gian-Carlo Scandiuzzi,Stefanie Mason,Kimberly McCullough,Joseph Roman,James Toback
Teenage Mutant Ninja Turtles II: The Secret of the Ooze;;67;;35;;PG;;The Teenage Mutant Ninja Turtles (Mark Caso, Michelan Sisti, Leif Tilden, Kenn Troum) again battle their archenemy, the rogue ninja Shredder (Francois Chau). Shredder attempts revenge by obtaining the same radioactive ooze that created the Turtles and unleashing two new monstrous mutants: Tokka, an oversized snapping turtle, and Rahzar, a fearsome wolf-like creature. When Shredder plans to use the remaining ooze on himself, the Turtles must harness their ninja fighting skills to stop him.;;Kids & family,Adventure,Fantasy;;Michael Pressman;;1991;;Paige Turco,David Warner,Michelan Sisti,Leif Tilden,Kenn Scott,Mark Caso,Kevin Clash,Ernie Reyes Jr.,Francois Chau,Toshishiro Obata,Raymond Serra,Mark Ginther,Kurt Bryant,Michael Pressman,Vanilla Ice
Daughters of the Dust;;65;;94;;NC;;At the dawn of the 20th century, a family in the Gullah community of coastal South Carolina -- former West African slaves who adopted many of their ancestors' Yoruba traditions -- suffers a generational split. Young Haagar (Kaycee Moore) wants to move to the mainland away from tradition-bound matriarch Nana (Cora Lee Day). Former prostitute Yellow Mary (Barbara-O) gets a cold shoulder when she returns to the island with her female lover, especially from her sister Viola (Cheryl Lynn Bruce).;;Drama;;Julie Dash;;1991;;Cora Lee Day,Alva Rogers,Adisa Anderson,Kaycee Moore,Barbara O.,Eartha Robinson,Bahni Turpin,Cheryl Lynn Bruce,Tommy Redmond Hicks,Cornell "Kofi" Royal,Tony King,Vertamae Grosvenor,Umar Abdurrahman,Sherry Jackson,Ervin Green,Geraldine Dunston,Catherine Tarver,Kai-Lynn Warren,Trula Hoosier
L.A. Story;;75;;93;;PG-13;;Harris K. Telemacher (Steve Martin) has the easiest job in the world: he's a TV weatherman in Los Angeles, where the weather is so predictable he tapes his forecasts days in advance. Bored with his job, his life and his relationship with longtime girlfriend Trudi (Marilu Henner), Harris begins to receive secret messages from an electronic freeway sign near his home, which lead him to pursue romance with a British journalist (Victoria Tennant) and a vapid young model (Sarah Jessica Parker).;;Romance,Comedy;;Mick Jackson;;1991;;Steve Martin,Victoria Tennant,Richard E. Grant,Marilu Henner,Sarah Jessica Parker,Susan Forristal,Kevin Pollak,Sam McMurray
Jungle Fever;;67;;82;;R;;A married black lawyer named Flipper (Wesley Snipes) begins an affair with Angie (Annabella Sciorra), his white secretary. When the news is leaked through an acquaintance, Flipper's wife (Lonette McKee) kicks him out of the house. Flipper decides to begin courting his mistress, only to be greeted by disapproval from friends, family and even strangers. The relationship continues to be strained in a society not ready to accept it, and people are hurt during its inception.;;Drama;;Spike Lee;;1991;;Wesley Snipes,Annabella Sciorra,Ossie Davis,Spike Lee,Ruby Dee,Samuel L. Jackson,Lonette McKee,John Turturro,Frank Vincent,Anthony Quinn,Halle Berry,Tyra Ferrell,Veronica Webb,Veronica Timbers,David Dundara
Bill &amp; Ted's Bogus Journey;;56;;56;;PG;;Amiable slackers Bill (Alex Winter) and Ted (Keanu Reeves) are once again roped into a fantastical adventure when De Nomolos (Joss Ackland), a villain from the future, sends evil robot duplicates of the two lads to terminate and replace them. The robot doubles actually succeed in killing Bill and Ted, but the two are determined to escape the afterlife, challenging the Grim Reaper (William Sadler) to a series of games in order to return to the land of the living.;;Comedy;;Peter Hewitt;;1991;;Keanu Reeves,Alex Winter,William Sadler,Joss Ackland,Pam Grier,George Carlin,Amy Stock-Poynton,Jim Martin,Hal Landon Jr.,Annette Azcuy,Chelcie Ross,Taj Mahal,Robert Noble
Slacker;;77;;81;;R;;Austin, Texas, is an Eden for the young and unambitious, from the enthusiastically eccentric to the dangerously apathetic. Here, the nobly lazy can eschew responsibility in favor of nursing their esoteric obsessions. The locals include a backseat philosopher (Richard Linklater) who passionately expounds on his dream theories to a seemingly comatose cabbie (Rudy Basquez), a young woman who tries to hawk Madonna's Pap test to anyone who will listen and a kindly old anarchist looking for recruits.;;Comedy;;Richard Linklater;;1991;;Rudy Basquez,Jean Caffeine,Jan Hockey,Richard Linklater,Mark James,Stephan Hockey
The Silence of the Lambs;;95;;96;;R;;Jodie Foster stars as Clarice Starling, a top student at the FBI's training academy. Jack Crawford (Scott Glenn) wants Clarice to interview Dr. Hannibal Lecter (Anthony Hopkins), a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism. Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.;;Crime,Mystery & thriller,Drama;;Jonathan Demme;;1991;;Jodie Foster,Anthony Hopkins,Scott Glenn,Ted Levine,Anthony Heald,Brooke Smith,Diane Baker,Kasi Lemmons,Charles Napier
